Mood,Language,Song Title,Artist(s),Spotify Link
Sad,Hindi,Channa Mereya,Arijit Singh,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
Sad,Hindi,Tujhe Bhula Diya,"Mohit Chauhan, Shekhar Ravjiani",https://open.spotify.com/track/4r8JqkhpTb5tzSKKHnVJIJ
Sad,Hindi,Duaa,"Nandini Srikar, Shekhar Ravjiani",https://open.spotify.com/track/606dT4oMKQc9uDUv7ADy97
Sad,Hindi,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",https://open.spotify.com/track/3hkC9EHFZNQPXrtl8WPHnX
Sad,Hindi,Tum Hi Ho,Arijit Singh,https://open.spotify.com/track/56zZ48jdyY2oDXHVnwg5Di
Sad,Hindi,Kabira (Reprise),"Harshdeep Kaur, Arijit Singh",https://open.spotify.com/track/3jJ5HgLRNydtLRghjWVaCG
Sad,Hindi,Madno,"Chinmayi, Mohit Chauhan",https://open.spotify.com/track/4GHuEO0gWcA05tBAdzjFmf
Sad,Hindi,Pachtaoge,"B Praak, Jaani",https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
Sad,Hindi,Nadaan Parindey,Mohit Chauhan,https://open.spotify.com/track/6Z394Nd4gW6Ts9hmu3NUjx
Sad,Hindi,O Saathi,Atif Aslam,https://open.spotify.com/track/6fScgF2Y63ScU73nYju0ny
Sad,Hindi,Ae Dil Hai Mushkil,Arijit Singh,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
Sad,Hindi,Bhula Dena,Mustafa Zahid,https://open.spotify.com/track/0WNCYgCd33LnBnw22WFuq8
Sad,Hindi,Hamari Adhuri Kahani,Arijit Singh,https://open.spotify.com/track/3HiobOOpSpMsi95WBKPBYk
Sad,Hindi,Ya Ali,Zubeen Garg,https://open.spotify.com/track/7C3IQI7f7zN1xasNYcZnYY
Sad,Hindi,Tu Jo Mila,KK,https://open.spotify.com/track/7txLCGOXyDlDXTjtR1Sk4v
Sad,Hindi,Judaai,"Rekha Bhardwaj, Arijit Singh",https://open.spotify.com/track/2MsGTWvf7dcjKbI0WTq6Pz
Sad,Hindi,Sun Raha Hai Na Tu,Shreya Ghoshal,https://open.spotify.com/track/2kRzgmBlmhvFvCEgMHltWz
Sad,Hindi,Jiyen Kyun,Papon,https://open.spotify.com/track/0up9rhm9qt2LW7cnoDFCMk
Sad,Hindi,Dil Kyun Yeh Mera,KK,https://open.spotify.com/track/5nHwX7e5XHnie22nuTFgda
Sad,Hindi,Khamoshiyan,Arijit Singh,https://open.spotify.com/track/6zCQF5tu7HVwU9shhKqiuF
Neutral,Hindi,Kesariya,Arijit Singh,https://open.spotify.com/track/6VBhH7CyP56BXjp8VsDFPZ
Neutral,Hindi,Tum Mile,Neeraj Shridhar,https://open.spotify.com/track/1EjxJHY9A6LMOlvyZdwDly
Neutral,Hindi,Kyon,"Papon, Sunidhi Chauhan",https://open.spotify.com/track/1sYC1fG7s4p0pTykrJqmgW?si=e450496a39ff4370
